"p","Fraction of Unstable Imprints","Stable Imprints"
159,0.3115,110.16
160,0.323354,108.94
161,0.334444,107.82
162,0.345031,106.76
163,0.350366,106.54
164,0.359394,105.7
165,0.371928,104.26
166,0.38491,102.72
167,0.395714,101.52
168,0.404852,100.58
169,0.418588,98.84
170,0.426901,98
171,0.436628,96.9
172,0.450751,95.02
173,0.462644,93.5
174,0.473714,92.1
175,0.483295,90.94
176,0.496271,89.16
177,0.50764,87.64
178,0.520894,85.76
179,0.530556,84.5
180,0.54221,82.86
181,0.551978,81.54
182,0.563607,79.86
183,0.5725,78.66
184,0.584432,76.88
185,0.598172,74.74
186,0.611444,72.66
187,0.61734,71.94
188,0.626349,70.62
189,0.638737,68.64
190,0.652461,66.38
191,0.659687,65.34
192,0.669223,63.84
193,0.677938,62.48
194,0.68759,60.92
195,0.700612,58.68
196,0.707919,57.54
197,0.71697,56.04
198,0.722714,55.18
199,0.7318,53.64
200,0.741194,52.02
201,0.751287,50.24
202,0.762069,48.3
203,0.773431,46.22
204,0.776488,45.82
205,0.788447,43.58
206,0.797778,41.86
207,0.804519,40.66
208,0.811196,39.46
209,0.820571,37.68
210,0.827962,36.3
211,0.836981,34.56
212,0.842911,33.46
213,0.851402,31.8
214,0.858605,30.4
215,0.864259,29.32
216,0.867373,28.78
217,0.874862,27.28
218,0.878356,26.64
219,0.885364,25.22
220,0.891312,24.02
221,0.894234,23.48
222,0.901794,21.9
223,0.906339,20.98
224,0.908622,20.56
225,0.914248,19.38
226,0.91815,18.58
227,0.921316,17.94
228,0.927773,16.54
229,0.930783,15.92
230,0.936623,14.64
231,0.939397,14.06
232,0.942833,13.32
233,0.944701,12.94
234,0.946809,12.5
235,0.952034,11.32
236,0.953755,10.96
237,0.957983,10
238,0.958996,9.8
239,0.962333,9.04
240,0.963651,8.76
241,0.964132,8.68
242,0.965432,8.4
243,0.968852,7.6
244,0.969469,7.48
245,0.971545,7
246,0.971903,6.94
247,0.975403,6.1
248,0.977028,5.72
249,0.97856,5.36
250,0.980239,4.96
251,0.981508,4.66
252,0.98253,4.42
253,0.982598,4.42
254,0.983686,4.16
255,0.985859,3.62
256,0.985914,3.62
257,0.987752,3.16
258,0.988803,2.9
259,0.988846,2.9
260,0.989962,2.62
261,0.990992,2.36
262,0.991939,2.12
263,0.991818,2.16
264,0.992755,1.92
265,0.993158,1.82
266,0.993858,1.64
267,0.994328,1.52
268,0.994944,1.36
269,0.995556,1.2
270,0.996236,1.02
271,0.99625,1.02
272,0.996337,1
273,0.996788,0.88
274,0.997018,0.82
275,0.997391,0.72
276,0.997906,0.58
277,0.998129,0.52
278,0.998781,0.34
279,0.999071,0.26
280,0.999004,0.28
281,0.999078,0.26
282,0.999081,0.26
283,0.999014,0.28
284,0.999298,0.2
285,0.999091,0.26
286,0.999164,0.24
287,0.999306,0.2
288,0.9991,0.26
289,0.999241,0.22
290,0.998969,0.3
291,0.999452,0.16
292,0.999317,0.2
293,0.999456,0.16
294,0.99939,0.18
295,0.999527,0.14
296,0.999596,0.12
297,0.99953,0.14
298,0.999866,0.04
299,0.9998,0.06
300,1,0
301,1,0
302,0.999802,0.06
303,0.999868,0.04
304,0.999869,0.04
305,0.999869,0.04
306,0.999935,0.02
307,0.99987,0.04
308,1,0
309,1,0
310,1,0
311,1,0
312,1,0
313,1,0
314,1,0
315,0.999937,0.02
316,0.999937,0.02
317,0.999937,0.02
318,0.999937,0.02
319,1,0
320,1,0
321,1,0
322,1,0
323,1,0
324,1,0
325,1,0
326,0.999939,0.02
327,1,0
328,0.999939,0.02
329,0.999939,0.02
330,0.99994,0.02
331,1,0
332,1,0
333,1,0
334,1,0
335,1,0
336,1,0
337,1,0
338,1,0
339,0.999941,0.02
340,1,0
341,0.999942,0.02
342,1,0
343,1,0
344,1,0
345,1,0
346,1,0
347,1,0
348,1,0
349,1,0
350,1,0
351,1,0
352,1,0
353,1,0
354,1,0
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,1,0
361,1,0
362,1,0
363,1,0
364,1,0
365,1,0
366,1,0
367,1,0
368,1,0
369,1,0
370,1,0
371,1,0
372,1,0
373,1,0
374,1,0
375,1,0
376,1,0
377,1,0
378,1,0
379,1,0
380,1,0
381,1,0
382,1,0
383,1,0
384,1,0
385,1,0
386,1,0
387,1,0
388,1,0
389,1,0
390,1,0
391,1,0
392,1,0
393,1,0
394,1,0
395,1,0
396,1,0
397,1,0
398,1,0
399,1,0
400,1,0
401,1,0
402,1,0
403,1,0
404,1,0
405,1,0
406,1,0
407,1,0
408,1,0
409,1,0
410,1,0
411,1,0
412,1,0
413,1,0
414,1,0
415,1,0
416,1,0
417,1,0
418,1,0
419,1,0
420,1,0
421,1,0
422,1,0
423,1,0
424,1,0
425,1,0
426,1,0
427,1,0
428,1,0
429,1,0
430,1,0
431,1,0
432,1,0
433,1,0
434,1,0
435,1,0
436,1,0
437,1,0
438,1,0
439,1,0
440,1,0
441,1,0
442,1,0
443,1,0
444,1,0
445,1,0
446,1,0
447,1,0
448,1,0
449,1,0
450,1,0
451,1,0
452,1,0
453,1,0
454,1,0
455,1,0
456,1,0
457,1,0
458,1,0
459,1,0
460,1,0
461,1,0
462,1,0
463,1,0
464,1,0
465,1,0
466,1,0
467,1,0
468,1,0
469,1,0
470,1,0
471,1,0
472,1,0
473,1,0
474,1,0
475,1,0
476,1,0
477,1,0
478,1,0
479,1,0
480,1,0
481,1,0
482,1,0
483,1,0
484,1,0
485,1,0
486,1,0
487,1,0
488,1,0
489,1,0
490,1,0
491,1,0
492,1,0
493,1,0
494,1,0
495,1,0
496,1,0
497,1,0
498,1,0
499,1,0
500,1,0
501,1,0
502,1,0
503,1,0
504,1,0
505,1,0
506,1,0
507,1,0
508,1,0
509,1,0
510,1,0
511,1,0
512,1,0
513,1,0
514,1,0
515,1,0
516,1,0
517,1,0
518,1,0
519,1,0
520,1,0
521,1,0
522,1,0
523,1,0
524,1,0
525,1,0
526,1,0
527,1,0
528,1,0
529,1,0
530,1,0
531,1,0
532,1,0
533,1,0
534,1,0
535,1,0
536,1,0
537,1,0
538,1,0
539,1,0
540,1,0
541,1,0
542,1,0
543,1,0
544,1,0
545,1,0
546,1,0
547,1,0
548,1,0
549,1,0
550,1,0
551,1,0
552,1,0
553,1,0
554,1,0
555,1,0
556,1,0
557,1,0
558,1,0
559,1,0
560,1,0
561,1,0
562,1,0
563,1,0
564,1,0
565,1,0
566,1,0
567,1,0
568,1,0
569,1,0
570,1,0
571,1,0
572,1,0
573,1,0
574,1,0
575,1,0
576,1,0
577,1,0
578,1,0
579,1,0
580,1,0
581,1,0
582,1,0
583,1,0
584,1,0
585,1,0
586,1,0
587,1,0
588,1,0
589,1,0
590,1,0
591,1,0
592,1,0
593,1,0
594,1,0
595,1,0
596,1,0
597,1,0
598,1,0
599,1,0
600,1,0
601,1,0
602,1,0
603,1,0
604,1,0
605,1,0
606,1,0
607,1,0
608,1,0
609,1,0
610,1,0
611,1,0
612,1,0
613,1,0
614,1,0
615,1,0
616,1,0
617,1,0
618,1,0
619,1,0
620,1,0
621,1,0
622,1,0
623,1,0
624,1,0
625,1,0
626,1,0
627,1,0
628,1,0
629,1,0
630,1,0
631,1,0
632,1,0
633,1,0
634,1,0
635,1,0
636,1,0
637,1,0
638,1,0
639,1,0
640,1,0
641,1,0
642,1,0
643,1,0
644,1,0
645,1,0
646,1,0
647,1,0
648,1,0
649,1,0
650,1,0
651,1,0
652,1,0
653,1,0
654,1,0
655,1,0
656,1,0
657,1,0
658,1,0
659,1,0
660,1,0
661,1,0
662,1,0
663,1,0
664,1,0
665,1,0
666,1,0
667,1,0
668,1,0
669,1,0
670,1,0
671,1,0
672,1,0
673,1,0
674,1,0
675,1,0
676,1,0
677,1,0
678,1,0
679,1,0
680,1,0
681,1,0
682,1,0
683,1,0
684,1,0
685,1,0
686,1,0
687,1,0
688,1,0
689,1,0
690,1,0
691,1,0
692,1,0
693,1,0
694,1,0
695,1,0
696,1,0
697,1,0
698,1,0
699,1,0
700,1,0
701,1,0
702,1,0
703,1,0
704,1,0
705,1,0
706,1,0
707,1,0
708,1,0
709,1,0
710,1,0
711,1,0
712,1,0
713,1,0
714,1,0
715,1,0
716,1,0
717,1,0
718,1,0
719,1,0
720,1,0
721,1,0
722,1,0
723,1,0
724,1,0
725,1,0
726,1,0
727,1,0
728,1,0
729,1,0
730,1,0
731,1,0
732,1,0
733,1,0
734,1,0
735,1,0
736,1,0
737,1,0
738,1,0
739,1,0
740,1,0
741,1,0
742,1,0
743,1,0
744,1,0
745,1,0
746,1,0
747,1,0
748,1,0
749,1,0
750,1,0
751,1,0
752,1,0
753,1,0
754,1,0
755,1,0
756,1,0
757,1,0
758,1,0
759,1,0
760,1,0
761,1,0
762,1,0
763,1,0
764,1,0
765,1,0
766,1,0
767,1,0
768,1,0
769,1,0
770,1,0
771,1,0
772,1,0
773,1,0
774,1,0
775,1,0
776,1,0
777,1,0
778,1,0
779,1,0
780,1,0
781,1,0
782,1,0
783,1,0
784,1,0
785,1,0
786,1,0
787,1,0
788,1,0
789,1,0
790,1,0
791,1,0
792,1,0
793,1,0
794,1,0
795,1,0
796,1,0
797,1,0
798,1,0
799,1,0
800,1,0
801,1,0
802,1,0
803,1,0
804,1,0
805,1,0
806,1,0
807,1,0
808,1,0
809,1,0
810,1,0
811,1,0
812,1,0
813,1,0
814,1,0
815,1,0
816,1,0
817,1,0
818,1,0
819,1,0
820,1,0
821,1,0
822,1,0
823,1,0
824,1,0
825,1,0
826,1,0
827,1,0
828,1,0
829,1,0
830,1,0
831,1,0
832,1,0
833,1,0
834,1,0
835,1,0
836,1,0
837,1,0
838,1,0
839,1,0
840,1,0
841,1,0
842,1,0
843,1,0
844,1,0
845,1,0
846,1,0
847,1,0
848,1,0
849,1,0
850,1,0
851,1,0
852,1,0
853,1,0
854,1,0
855,1,0
856,1,0
857,1,0
858,1,0
859,1,0
860,1,0
861,1,0
862,1,0
863,1,0
864,1,0
865,1,0
866,1,0
867,1,0
868,1,0
869,1,0
870,1,0
871,1,0
872,1,0
873,1,0
874,1,0
875,1,0
876,1,0
877,1,0
878,1,0
879,1,0
880,1,0
881,1,0
882,1,0
883,1,0
884,1,0
885,1,0
886,1,0
887,1,0
888,1,0
889,1,0
890,1,0
891,1,0
892,1,0
893,1,0
894,1,0
895,1,0
896,1,0
897,1,0
898,1,0
899,1,0
900,1,0
901,1,0
902,1,0
903,1,0
904,1,0
905,1,0
906,1,0
907,1,0
908,1,0
909,1,0
910,1,0
911,1,0
912,1,0
913,1,0
914,1,0
915,1,0
916,1,0
917,1,0
918,1,0
919,1,0
920,1,0
921,1,0
922,1,0
923,1,0
924,1,0
925,1,0
926,1,0
927,1,0
928,1,0
929,1,0
930,1,0
931,1,0
932,1,0
933,1,0
934,1,0
935,1,0
936,1,0
937,1,0
938,1,0
939,1,0
940,1,0
941,1,0
942,1,0
943,1,0
944,1,0
945,1,0
946,1,0
947,1,0
948,1,0
949,1,0
950,1,0
951,1,0
952,1,0
953,1,0
954,1,0
955,1,0
956,1,0
957,1,0
958,1,0
959,1,0
960,1,0
961,1,0
962,1,0
963,1,0
964,1,0
965,1,0
966,1,0
967,1,0
968,1,0
969,1,0
970,1,0
971,1,0
972,1,0
973,1,0
974,1,0
975,1,0
976,1,0
977,1,0
978,1,0
979,1,0
980,1,0
981,1,0
982,1,0
983,1,0
984,1,0
985,1,0
986,1,0
987,1,0
988,1,0
989,1,0
990,1,0
991,1,0
992,1,0
993,1,0
994,1,0
995,1,0
996,1,0
997,1,0
998,1,0
999,1,0
