"p","Fraction of Unstable Imprints","Stable Imprints"
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,0,10
10,0,11
11,0,12
12,0,13
13,0,14
14,0,15
15,0,16
16,0,17
17,0,18
18,0,19
19,0,20
20,0,21
21,0,22
22,0,23
23,0,24
24,0,25
25,0,26
26,0,27
27,0,28
28,0,29
29,0,30
30,0,31
31,0,32
32,0,33
33,0,34
34,0,35
35,0,36
36,0,37
37,0,38
38,0,39
39,0,40
40,0,41
41,0,42
42,0,43
43,0,44
44,0,45
45,0,46
46,0,47
47,0,48
48,0,49
49,0,50
50,0,51
51,0,52
52,0,53
53,0,54
54,0,55
55,0,56
56,0,57
57,0,58
58,0,59
59,0,60
60,0,61
61,0,62
62,0,63
63,0,64
64,0,65
65,0,66
66,0,67
67,0,68
68,0,69
69,0,70
70,0,71
71,0,72
72,0,73
73,0.00027027,73.98
74,0.000266667,74.98
75,0.000263158,75.98
76,0.00025974,76.98
77,0.00025641,77.98
78,0,79
79,0,80
80,0,81
81,0.000243902,81.98
82,0.000481928,82.96
83,0.00047619,83.96
84,0.000941176,84.92
85,0.000930233,85.92
86,0.00091954,86.92
87,0.00113636,87.9
88,0.00157303,88.86
89,0.00155556,89.86
90,0.0021978,90.8
91,0.00282609,91.74
92,0.00344086,92.68
93,0.00361702,93.66
94,0.00463158,94.56
95,0.00458333,95.56
96,0.00412371,96.6
97,0.00469388,97.54
98,0.00565657,98.44
99,0.0062,99.38
100,0.00712871,100.28
101,0.00745098,101.24
102,0.00815534,102.16
103,0.0103846,102.92
104,0.0112381,103.82
105,0.0124528,104.68
106,0.0127103,105.64
107,0.0135185,106.54
108,0.0124771,107.64
109,0.0154545,108.3
110,0.0178378,109.02
111,0.0191071,109.86
112,0.0228319,110.42
113,0.0249123,111.16
114,0.0266087,111.94
115,0.0298276,112.54
116,0.0300855,113.48
117,0.0328814,114.12
118,0.0351261,114.82
119,0.0376667,115.48
120,0.0395041,116.22
121,0.0416393,116.92
122,0.044878,117.48
123,0.0506452,117.72
124,0.05312,118.36
125,0.0561905,118.92
126,0.0620472,119.12
127,0.0653125,119.64
128,0.0696124,120.02
129,0.0736923,120.42
130,0.0819847,120.26
131,0.0877273,120.42
132,0.0923308,120.72
133,0.101194,120.44
134,0.105185,120.8
135,0.113382,120.58
136,0.116058,121.1
137,0.123043,121.02
138,0.130504,120.86
139,0.137286,120.78
140,0.14383,120.72
141,0.146479,121.2
142,0.155804,120.72
143,0.162083,120.66
144,0.164552,121.14
145,0.174521,120.52
146,0.183946,119.96
147,0.191757,119.62
148,0.201745,118.94
149,0.205467,119.18
150,0.217483,118.16
151,0.223158,118.08
152,0.230719,117.7
153,0.243377,116.52
154,0.253419,115.72
155,0.262821,115
156,0.274777,113.86
157,0.286456,112.74
158,0.298868,111.48
159,0.308375,110.66
160,0.312795,110.64
161,0.323086,109.66
162,0.335092,108.38
163,0.345732,107.3
164,0.355394,106.36
